                         cost  slots    profit
Altinova 10-1               2      3  1.500000
Altinova 7-4                2      3  1.500000
Altinova 8-1                2      3  1.500000
Altinova 3-1                2      3  1.500000
Altinova 1-1, 1F            2      3  1.500000
Altinova 7-3                5      8  1.600000
Altinova 10-2               5      8  1.600000
Altinova 1-2                6     11  1.833333
Altinova 5-5                4      8  2.000000
Altinova 7-2                8     16  2.000000
Altinova 5-2                5     10  2.000000
Altinova 4-2                4      8  2.000000
Altinova 8-2                4      8  2.000000
Altinova 3-2                4      8  2.000000
Altinova 8-3                8     16  2.000000
Altinova 1-1, 2F            4      8  2.000000
Altinova 5-6                6     13  2.166667
Altinova 4-3                6     13  2.166667
Altinova 2-1, 2F            5     11  2.200000
Altinova 5-3               10     22  2.200000
Altinova 10-3               7     16  2.285714
Altinova 3-3                7     16  2.285714
Altinova 10-4              12     28  2.333333
Altinova 3-4               10     24  2.400000
Altinova 9                  5     12  2.400000
Altinova 8-4               13     32  2.461538
Altinova 7-1               13     32  2.461538
Kusha 2                     2      5  2.500000
Altinova 5-1                2      5  2.500000
Altinova 2-3                9     23  2.555556
Altinova 4-4                8     21  2.625000
Altinova 5-7                8     21  2.625000
Altinova 6-2                3      8  2.666667
Altinova 6-4                7     19  2.714286
Stonetail Horse Ranch 3     4     11  2.750000
Altinova 2-2                4     11  2.750000
Altinova 6-3, 1F            4     11  2.750000
Abun 1-3                    4     11  2.750000
Kusha 1-3                   4     11  2.750000
Altinova 3-5               14     40  2.857143
Altinova 6-3, 2F            8     23  2.875000
Altinova 6-5                9     27  3.000000
Abun 1-1                    1      3  3.000000
Altinova 5-4                1      3  3.000000
Altinova 4-1                1      3  3.000000
Altinova 2-1, 1F            1      3  3.000000
Kusha 1-2                   2      6  3.000000
Kusha 1-1                   1      3  3.000000
Stonetail Horse Ranch 2     2      6  3.000000
Stonetail Horse Ranch 1     1      3  3.000000
Abun 2-2                    2      6  3.000000
Abun 2-1                    1      3  3.000000
Abun 1-2                    2      6  3.000000
Altinova 6-1                1      3  3.000000
Altinova 6-6               13     43  3.307692
Altinova 5-8               11     37  3.363636
Altinova 4-5               11     37  3.363636
