                              cost  slots    profit
Market Street 7-3, 1F            2      3  1.500000
Market Street 5-1                8     13  1.625000
Market Street 5-6, 2F            8     13  1.625000
Bain Farmland 1                  3      5  1.666667
Market Street 4-2, 2F            8     14  1.750000
Noble Quarter 2-2, 2F            5      9  1.800000
Market Street 7-2                6     11  1.833333
Market Street 7-3, 2F            3      6  2.000000
Slum 2-2, 1F                     4      8  2.000000
Market Street 4-5, 2F            8     16  2.000000
Market Street 4-2, 1F            3      6  2.000000
Florin 1-3                       7     14  2.000000
Florin 1-2                       3      6  2.000000
Market Street 7-5, 2F            8     16  2.000000
Slum 3-2                         3      6  2.000000
Chapel 3-9, 2F                   6     13  2.166667
Market Street 1-7, 2F            5     11  2.200000
Slum 3-3                         5     11  2.200000
Chapel 1-3, 1F                   5     11  2.200000
Market Street 4-7                8     18  2.250000
Noble Quarter 1-4, 2F           12     27  2.250000
Market Street 5-3, 2F            8     18  2.250000
Market Street 6-3, 2F            8     19  2.375000
Chapel 1-3, 2F                   8     19  2.375000
Market Street 3-2, 3F            8     19  2.375000
Market Street 2-3, 2F            8     19  2.375000
Market Street 1-8, 1F            8     19  2.375000
Market Street 7-1, Rm. 1         8     19  2.375000
Slum 3-4                         8     19  2.375000
Market Street 4-4, 2F            8     19  2.375000
Merchant Lane 3-7, 2F            8     19  2.375000
Noble Quarter 1-5, 2F           10     24  2.400000
Northern Wheat Plantation 1      2      5  2.500000
Merchant Lane 2-9, 2F            8     20  2.500000
Calpheon South Gate 1            2      5  2.500000
Falres Dirt Farm 1               2      5  2.500000
Market Street 3-6, 2F           14     35  2.500000
Merchant Lane 3-10              11     28  2.545455
Workshop District 2-3, 2F        9     23  2.555556
Market Street 4-6                5     13  2.600000
Chapel 2-4                       5     13  2.600000
Slum 2-3, 2F                     5     13  2.600000
Slum 1-5                         5     13  2.600000
Market Street 5-7                5     13  2.600000
Chapel 2-2, 2F                   5     13  2.600000
Market Street 7-6, 1F            5     13  2.600000
Slum 1-4, 2F                     5     13  2.600000
Slum 2-2, 2F                     5     13  2.600000
Slum 1-4, 3F                     8     21  2.625000
Market Street 7-7, 1F            8     21  2.625000
Calpheon East Gate 5, 2F        11     29  2.636364
Market Street 5-5, 2F            3      8  2.666667
Chapel 4-1, 2F                   3      8  2.666667
Calpheon East Gate 1, 2F         3      8  2.666667
Market Street 4-5, 1F            3      8  2.666667
Market Street 5-6, 1F            3      8  2.666667
Chapel 4-2, 1F                   3      8  2.666667
Market Street 6-4                6     16  2.666667
Chapel 3-9, 1F                   3      8  2.666667
Market Street 7-4, 2F            3      8  2.666667
Workshop District 2-1, 2F        3      8  2.666667
Noble Quarter 1-5, 1F            6     16  2.666667
Noble Quarter 1-6                9     24  2.666667
Chapel 3-2                       3      8  2.666667
Chapel 2-3, 1F                   6     16  2.666667
Chapel 2-2, 1F                   3      8  2.666667
