              cost  slots    profit
Grána 4         15     16  1.066667
Grána 1         11     16  1.454545
Grána 15        11     16  1.454545
Grána 14        11     16  1.454545
Grána 13        11     16  1.454545
Grána 12, 2F    11     16  1.454545
Grána 12, 1F    11     16  1.454545
Grána 11        11     16  1.454545
Grána 9         11     16  1.454545
Grána 6         11     16  1.454545
Grána 5         11     16  1.454545
Grána 3, 2F     11     16  1.454545
Grána 3, 1F     11     16  1.454545
Grána 2         11     16  1.454545
Grána 8         11     16  1.454545
Grána 10         8     12  1.500000
Grána 17         8     12  1.500000
Grána 16         5     12  2.400000
Grána 7          5     12  2.400000
