                                  cost  slots    profit
Heidel 5-1, 1F                       2      3  1.500000
Heidel 5-2                           7     11  1.571429
Heidel 5-3                           6     11  1.833333
Heidel 6-2, 2F                       6     11  1.833333
Heidel 2-2                           4      8  2.000000
Heidel 2-3, 1F                       6     13  2.166667
Heidel 3-1, 2F                       5     11  2.200000
Heidel 6-3                           7     16  2.285714
Heidel 1-5                           6     14  2.333333
Heidel 9-3                           6     14  2.333333
Heidel 9-4                          11     26  2.363636
Heidel 8-5                           8     19  2.375000
Heidel 3-4                           8     19  2.375000
Heidel 5-4, 2F                      11     27  2.454545
Serendia 3, Elda Farm                2      5  2.500000
Serendia 4, Moretti Plantation       2      5  2.500000
Serendia 5, Lynch Ranch              2      5  2.500000
Heidel 2-3, 2F                       8     21  2.625000
Heidel 7-3, 2F                       8     21  2.625000
Heidel 7-2, 2F                       6     16  2.666667
Heidel 7-2, 1F                       3      8  2.666667
Heidel 8-1, Rm. 2                    3      8  2.666667
Serendia 1-1, 2F, Alejandro Farm     3      8  2.666667
Serendia 2-2, Costa Farm             3      8  2.666667
Heidel 6-2, 1F                       3      8  2.666667
Serendia 2-3, Costa Farm             6     16  2.666667
Serendia 2-1, 2F, Costa Farm         3      8  2.666667
Heidel 6-1, 2F                       3      8  2.666667
Heidel 5-1, 2F                       3      8  2.666667
Heidel 1-4                           7     19  2.714286
Heidel 8-4                           7     19  2.714286
Heidel 7-5                          11     30  2.727273
Heidel 1-3                           4     11  2.750000
Heidel 8-3                           4     11  2.750000
Heidel 9-2, 2F                       4     11  2.750000
Heidel 6-4, 1F                      10     28  2.800000
Heidel 6-4, 2F                      15     44  2.933333
Heidel 4-2, 1F                       1      3  3.000000
Serendia 2-1, 1F, Costa Farm         1      3  3.000000
Serendia 1-1, 1F, Alejandro Farm     1      3  3.000000
Heidel 8-1, Rm. 1                    1      3  3.000000
Heidel 3-2                           2      6  3.000000
Heidel 1-1                           1      3  3.000000
Heidel 1-2                           2      6  3.000000
Heidel 9-1, 1F                       1      3  3.000000
Heidel 4-1, 1F                       1      3  3.000000
Heidel 9-2, 1F                       2      6  3.000000
Heidel 6-1, 1F                       1      3  3.000000
Heidel 2-1, 1F                       1      3  3.000000
Heidel 2-1, 2F                       2      6  3.000000
Heidel 4-1, 2F                       2      6  3.000000
Heidel 3-1, 1F                       1      3  3.000000
Heidel 7-1                           1      3  3.000000
Heidel 4-3                           2      6  3.000000
Heidel 7-4, 1F                       6     18  3.000000
Heidel 8-2, B1                       2      6  3.000000
Heidel 4-5                           6     19  3.166667
Serendia 1-2, Alejandro Farm         5     16  3.200000
Heidel 8-2, 2F                       5     16  3.200000
Heidel 8-1, Rm. 3                    5     16  3.200000
Heidel 7-4, 2F                       8     26  3.250000
Heidel 7-3, 1F                       4     13  3.250000
Heidel 8-1, Rm. 5                   12     40  3.333333
Heidel 8-1, Rm. 4                    8     28  3.500000
Heidel 4-4                           3     11  3.666667
Heidel 8-2, 1F                       3     11  3.666667
Heidel 3-3                           3     11  3.666667
Heidel 9-1, 2F                       2      8  4.000000
Heidel 4-2, 2F                       2      8  4.000000
