                     cost  slots    profit
Gianin Farm 1           3      5  1.666667
Keplan 2-2, 2F          8     16  2.000000
Keplan 3-1, Storage     6     13  2.166667
Keplan 2-2, 3F         12     28  2.333333
Keplan 3-1              2      5  2.500000
Keplan 2-3, 1F          5     13  2.600000
Keplan 2-3, 2F          8     21  2.625000
Keplan 1-3, 2F          8     21  2.625000
Keplan 2-2, 1F          3      8  2.666667
Keplan 1-2, 2F          6     16  2.666667
Keplan 1-2, 1F          3      8  2.666667
Keplan 2-3, 3F         13     37  2.846154
Keplan 2-1, 2F          1      3  3.000000
Keplan 1-1              1      3  3.000000
Keplan 1-5, 3F         13     42  3.230769
Keplan 1-5, 2F          8     26  3.250000
Keplan 1-4, 2F          8     26  3.250000
Keplan 1-3, 1F          4     13  3.250000
Keplan 3-2              3     10  3.333333
Keplan 3-3, Storage     8     27  3.375000
Keplan 1-4, 1F          5     18  3.600000
Keplan 3-3              4     15  3.750000
