               cost  slots    profit
Olvia 2-1         4      8  2.000000
Olvia 7-2, 1F     3      6  2.000000
Wale Farm 2       4     10  2.500000
Wale Farm 1       2      5  2.500000
Casta Farm 2      3      8  2.666667
Olvia 6-2         3      8  2.666667
Olvia 3-4         7     19  2.714286
Olvia 1-3         4     11  2.750000
Olvia 7-3         4     11  2.750000
Olvia 7-2, 2F     4     11  2.750000
Olvia 3-3         4     11  2.750000
Olvia 4-4         8     23  2.875000
Casta Farm 1      1      3  3.000000
Olvia 7-1         1      3  3.000000
Olvia 6-1         1      3  3.000000
Olvia 4-3         5     15  3.000000
Olvia 1-1         1      3  3.000000
Olvia 3-2         2      6  3.000000
Olvia 3-1         1      3  3.000000
Olvia 2-3         2      6  3.000000
Olvia 2-2         1      3  3.000000
Olvia 1-2         2      6  3.000000
Olvia 7-4         6     19  3.166667
Olvia 6-3         5     16  3.200000
Olvia 4-2         3     10  3.333333
Olvia 2-4         3     11  3.666667
Olvia 2-5, 1F     5     19  3.800000
Olvia 2-5, 2F     7     27  3.857143
Olvia 5-1         2      8  4.000000
Olvia 5-2         3     13  4.333333
Olvia 4-1         1      5  5.000000
