                                      cost  slots    profit
1st Floor, Longleaf Tree Sentry Post     3      5  1.666667
Trent 3                                  4      8  2.000000
Trent 4                                  8     16  2.000000
2nd Floor, Longleaf Tree Sentry Post     6     13  2.166667
Trent 5                                  7     16  2.285714
Trent 6                                 13     32  2.461538
Behr 1                                   2      5  2.500000
Trent 2                                  3      8  2.666667
Trent 1                                  1      3  3.000000
Behr 3                                   5     15  3.000000
Behr 4                                   7     23  3.285714
Behr 2                                   3     10  3.333333
Behr 5                                  10     35  3.500000
Behr 6                                  13     51  3.923077
