                          cost  slots    profit
Valencia 1-2                 4      8  2.000000
Valencia 4-1, 2F             4      8  2.000000
Erdal Farm 1                 2      5  2.500000
Valencia 10-1, 1F, Rm. 1     2      5  2.500000
Valencia 20-1, 1F            2      5  2.500000
Valencia 9-3                 5     13  2.600000
Valencia 5-3, 1F             5     13  2.600000
Valencia 20-1, 2F            5     13  2.600000
Valencia 14-3, 1F            5     13  2.600000
Valencia 10-1, 1F, Rm. 2     5     13  2.600000
Valencia 5-3, 2F             8     21  2.625000
Valencia 1-4, 1F             8     21  2.625000
Valencia 16-2, 1F            3      8  2.666667
Valencia 14-1, 2F            3      8  2.666667
Valencia 13-1, 2F            3      8  2.666667
Valencia 5-2, 1F             3      8  2.666667
Valencia 15-1, 2F            3      8  2.666667
Valencia 12-2, 1F            3      8  2.666667
Valencia 14-2, 1F            3      8  2.666667
Valencia 16-3, 1F            6     16  2.666667
Valencia 9-2                 3      8  2.666667
Valencia 1-1, 2F             3      8  2.666667
Valencia 17-2                3      8  2.666667
Valencia 1-3, 1F             6     16  2.666667
Valencia 15-3, 1F            4     11  2.750000
Valencia 7-2, 1F             4     11  2.750000
Valencia 2-2, 2F             4     11  2.750000
Valencia 12-1, 2F            4     11  2.750000
Valencia 13-3                5     14  2.800000
Valencia 20-2, 1F            6     17  2.833333
Valencia 15-3, 2F            8     23  2.875000
Valencia 11-5, 1F            9     26  2.888889
Valencia 9-5, 1F            10     29  2.900000
Valencia 14-4               10     29  2.900000
Valencia 16-3, 2F           11     32  2.909091
Valencia 17-1                1      3  3.000000
Valencia Plantation 1-1      1      3  3.000000
Valencia 11-4, 1F            6     18  3.000000
Valencia 11-1                1      3  3.000000
Valencia 9-4, 1F             7     21  3.000000
Valencia 12-1, 1F            1      3  3.000000
Valencia 12-3                8     24  3.000000
Valencia 14-1, 1F            1      3  3.000000
Fohalam Farm 1               1      3  3.000000
Valencia 13-2, 1F            2      6  3.000000
Valencia 20-2, 2F           11     33  3.000000
Valencia 19-4, 1F            7     21  3.000000
Valencia 19-1                1      3  3.000000
Valencia 18-2, 1F            5     15  3.000000
Valencia 15-1, 1F            1      3  3.000000
Valencia 18-1, 1F            1      3  3.000000
Valencia 17-4, 1F            8     24  3.000000
Valencia 15-5, 1F            9     27  3.000000
Valencia 15-5, 2F           13     39  3.000000
Valencia 16-1                1      3  3.000000
Valencia 13-1, 1F            1      3  3.000000
Valencia 15-2, 1F            2      6  3.000000
Valencia 1-1, 1F             1      3  3.000000
Valencia 5-1, 1F             1      3  3.000000
Valencia 2-1                 1      3  3.000000
Valencia 2-2, 1F             2      6  3.000000
Valencia 3-1                 1      3  3.000000
Valencia 3-4                 7     21  3.000000
Valencia 4-1, 1F             1      3  3.000000
Valencia 9-1                 1      3  3.000000
Valencia 5-4, 1F             7     21  3.000000
Valencia 7-1, 1F             1      3  3.000000
Valencia 8-1                 1      3  3.000000
Valencia 10-2                7     21  3.000000
Valencia 8-4, 1F             6     18  3.000000
Valencia 8-3, 2F             7     21  3.000000
Valencia 17-4, 2F           13     40  3.076923
Valencia 1-4, 2F            12     37  3.083333
Valencia 19-4, 2F           12     37  3.083333
Valencia 2-5, Rm. 1         10     31  3.100000
Valencia 18-2, 2F           10     31  3.100000
Valencia 1-3, 2F             9     28  3.111111
Valencia 19-3, 2F            8     25  3.125000
Valencia 14-3, 2F            8     25  3.125000
Valencia 20-1, 3F            8     25  3.125000
Valencia 15-4                6     19  3.166667
Valencia 17-3                5     16  3.200000
Valencia 3-2, 2F             5     16  3.200000
Valencia 9-5, 2F            14     45  3.214286
Valencia 3-5                 9     29  3.222222
Valencia 11-5, 2F           13     42  3.230769
Valencia 19-3, 1F            4     13  3.250000
Valencia 3-3                 4     13  3.250000
Valencia 13-4, 1F            8     26  3.250000
Valencia 6-2, 2F, Rm. 3      8     26  3.250000
